
>Aalburg, van; Johannes | Geb. Zierikzee ca. 1717; pred. @Oudkarspel# 30 juni ~1743, overl. 14 maart ~1777.<
>Aalst; Wilhelmus | Gedoopt Biggekerke 5 jan. 1664; pred. @Aardenburg# 22 mei ~1695, overl. 19 dec. ~1700.<
>Aalst, van; Cornelius | Geb. Castricum ca. 1686; ambassadepred. Parijs (Frankrijk) maart tot dec. 1715; pred. @Kalslagen# ber. 21 febr. ~1717, emer. ~1751; overl. Amsterdam 27 aug. 1756.<
>Aalst, van; Gerardus | Geb. sept. 1678; pred. @Vuren# 10 aug. ~1704, @Sommelsdijk# 13 juni ~1706, @West-Zaandam# 4 aug. ~1715, emer. ~1755; overl. 29 juni 1759.<
>Aalstius; Henricus | Geb. 's-Hertogenbosch (?); pred. @Castricum# nov. ~1700, emer. sept. ~1733; overl. Limmen 15 maart 1736.<
>Aalstius; Johannes | Geb. - ; pred. @Isabella- en Anthonyschans# ~1642, @Oirschot# 13 sept. ~1648, overl. 11 dec. ~1657.<
>Aalstius; Johannes [z.v. Johannes Leonardusz.] | Geb. 1620; pred. @Obdam# ~1644, @Boxtel# 13 sept. ~1648, @Bergen op Zoom# 9 nov. ~1652 (tevens Waalse gemeente), emer. ~1685; begraven 17 nov. 1687.<
>Aalstius; Johannes | Geb. 's-Hertogenbosch ca. 1660; pred. @Hoornaar# ~1687, @Beverwijk# april ~1698, @Middelburg# 22 nov. ~1705 (tevens hoogleraar 1705 tot 1709), overl. 10 juni ~1712.<
>Aalstius; Leonardus | Geb. Haarlem ca. 1628; pred. @Berghem# ber. 4 maart ~1649, @Lith# ~1653, overl. ~1666.<
>Aalstius; Petrus [z.v. Johannes Leonardusz.] | Geb. 's-Hertogenbosch ca. 1632; pred. @Bakel# ~1655, @Beers (Fr)# ~1658, @Sint-Oedenrode# 19 okt. ~1670, overl. juli ~1686.<
>Aalstius; Wilhelmus | Geb. 's-Hertogenbosch (?) 1637; pred. @Asten# 22 aug. ~1665, @Son# 28 nov. ~1679, @Castricum# ~1681, overl. 13 febr. ~1700.<
>Aarssen; Albertus | Geb. Goor 1733; pred. @Randwijk# 6 okt. ~1776, @Hellendoorn# (hulppred.) 11 okt. ~1789, overl. 15 april ~1795.<
>Aartsen; Antonius | Geb. Kampen; pred. @Zunderdorp# 30 sept. ~1742, emer. ~1767; overl. 6 febr. 1776.<
>Aartsen; Lambertus [z.v. Antonius] | Geb. Zunderdorp 1750; pred. @Voorhout# 21 aug. ~1774, @Assen# 6 maart ~1791, overl. 4 juli ~1808.<
>Aatsma (Atsma); Ate | Geb. Sneek; pred. @Peperga# okt. ~1681, @Oldeboorn (Utingeradeel)# ~1683, overl. 16 nov. ~1687.<
>Abbema, van; Pibo Ovitius | Geb. Oldeboorn; pastoor Kessel 1589, Orsoy (Kleef), pastoor en medicus Weeze (Kleef); pred. @Ter Borg# ~1591, "Vossen" ~1593, @Werkhoven# ca. ~1594, @Wieringen (mogelijk Hyppolytushoef)# ~1595, afgezet ~1596; pred. @Didam# ~1596, afgezet ~1597; pred. @Enschede# ~1598, in @classis Tiel# ~1599, @Nigtevecht# ca. ~1606, @Zuilen# ca. ~1609 tot ~1612 (?); ziekentrooster in Oost-Indië.<
>Abbema; Florentius | Geb. Leeuwarden; pred. @Wirdum (Fr)# ~1622, overl. 17 jan. ~1644.<
>Abbema; Florentius | Gedoopt Leeuwarden 10 okt. 1680; pred. @Sint-Jacobiparochie# okt. ~1706, overl. 20 mei ~1707.<
>Abbema; Frederik | Geb. - ; pred. @Berkenwoude# voor ~1610, @Oudewater# een week na Pinksteren ~1618, emer. 5 aug. ~1636.<
>Abbema; Frederik [z.v. Frederik] | Geb. Berkenwoude 1610; pred. @Polsbroek# ~1636, @Moordrecht# ~1640, @Vianen# ~1646 tot ~1655; pred. in Oost-Indië 1656, overl. juli 1659.<
>Abbema; Isaäc [z.v. Frederik] | Geb. Amsterdam; pred. @Berkenwoude# ~1618, @Gouda# ~1635, afgezet 19 sept. ~1637.<
>Abbema; Rinso | Geb. Leeuwarden; conrector Bolsward; pred. @Oenkerk# sept. ~1706, @Goutum# mei ~1723, overl. 21 juni ~1732.<
>Abbesteeg; Wilhelmus | Geb. - ; ambassadepred. Parijs (Frankrijk) 1628 tot 1638; pred. @Langerak (over Lek)# ber. aug. ~1638, afgezet ~1639; pred. @Herwijnen# ~1649; overl. ~1655.<
>Abbinck; Anthonie Pieter | Geb. Tiel 1756; pred. @Oosterleek# 14 aug. ~1785, overl. 4 maart ~1788.<
>Abbinck; Bernardus | Geb. Eibergen ca. 1682; pred. @Stavenisse# ~1712, @Groenlo# sept. ~1716, overl. mei ~1747.<
>Abbinck; Engelbert | Geb. Groenlo 1756; pred. @Gelselaar# 5 juli ~1785, @Groenlo# 23 juli ~1797, emer. ~1834; overl. 19 aug. 1843.<
>Abbinck; Johannes Hendrik [z.v. Bernardus] | Geb. Groenlo ca. 1723; pred. @Gelselaar# 4 mei ~1760, @Lochem# 28 nov. ~1773, emer. ~1785, overl. 1799.<
>Abbinck; Lambertus Hermanus [broer van Tieleman] | Geb. Zutphen 4 juli 1771; pred. @Baer# 19 okt. ~1794, @Groenlo# 13 april ~1806, overl. 20 nov. ~1838.<
>Abbinck; Tieleman | Gedoopt Zutphen 3 maart 1685; pred. @Nederhemert# juli ~1718, @Meteren# aug. ~1720, overl. 10 juli ~1746.<
>Abbinck; Tieleman [broer van Lambertus Hermanus] | Gedoopt Zutphen 26 juli 1754; pred. @Hoevelaken# 15 okt. ~1780, emer. ~1806; overl. Amersfoort 12 dec. 1822.<
>Abbringh; Albertus Jacobus Hector [z.v. Sicco] | Geb. Franeker 10 okt. 1772; pred. @Dongjum# 30 aug. ~1795, @Burgh# 6 aug. ~1797, @Mensingeweer# 19 aug. ~1810, overl. 24 april ~1837.<
>Abbringh; Georgius [z.v. Sicco] | Geb. Visvliet 22 sept. 1698; pred. @Ezinge# 11 mei ~1721, overl. 8 juli ~1731.<
>Abbringh; Georgius Albertus [z.v. Sicco] | Geb. Welsrijp 4 aug. 1759; pred. @Witmarsum# 29 okt. ~1780, @Dantumawoude# 23 juni ~1782, @Zuidbroek# (hulppred. maart 1798) 3 maart ~1799, overl. 13 dec. ~1804.<
>Abbringh; Godefridus [z.v. Georgius] | Geb. Ezinge 5 juli 1725; pred. @Oosterwijtwerd# 5 jan. ~1755, @'t Zandt# 25 aug. ~1776, overl. 4 mei ~1784.<
>Abbringh; Hillebrandus | Gedoopt Appingedam 6 juli 1760; pred. @Oterdum# 20 juli ~1783, @Loppersum# 23 nov. ~1788, overl. 30 jan. ~1807.<
>Abbringh; Johannes | Geb. Groningen ca. 1645; pred. @Ten Boer# 17 april ~1664, @Groningen# okt. ~1667, overl. 28 jan. ~1715.<
>Abbringh; Sicco | Gedoopt Groningen 6 nov. 1670; pred. @Visvliet# 9 april ~1694, @Groningen# 21 aug. ~1712, overl. 27 nov. ~1724.<
>Abbringh; Sicco [z.v. Georgius] | Geb. Ezinge 6 jan. 1731; pred. @Molkwerum# 9 juni ~1754, @Welsrijp# 19 juni ~1757, @Franeker# 5 okt. ~1766, overl. Dokkum 9 nov. ~1784.<
>Abelaar; Georgius | Geb. Groningen 16 febr. 1679; pred. @Oostwold (Westerkwartier)# 9 juni ~1710, @Aduard# ~1733, overl. 24 mei ~1743.<
>Abeleven; Nicolaas (Brander) Andriesz. | Gedoopt Amsterdam 20 maart 1596; pred. @Benthuizen# 13 okt. ~1619, @Muiden# sept. ~1641, begraven Amsterdam 28 jan. ~1653.<
>Abeli; Leo | Geb. ca. 1563; pred. @Loppersum# ~1595, overl. voor 20 mei ~1611.<
